City	Shape	CountofShape
Sweeny	Light	1
Surfside	Diamond	1
Sunset	Light	1
Sunrise Beach Village	Unknown	1
Sunrise Beach	Disk	1
Sulphur Springs	Rectangle	1
Sulphur Springs	Oval	1
Sulphur Springs	Light	2
Sulphur Springs	Formation	2
Sulphur Springs	Disk	2
Sulphur Springs	Circle	1
Sullivan City	Triangle	1
Sullivan City	Formation	1
Sugar Land	Triangle	1
Sugar Land	Sphere	2
Sugar Land	Rectangle	1
Sugar Land	Other	1
Sugar Land	Light	1
Sugar Land	Fireball	3
Sugar Land	Cylinder	1
Stratford	Triangle	1
Stinnett	Circle	1
Stephenville	Unknown	3
Stephenville	Rectangle	1
Stephenville	Oval	3
Stephenville	Formation	1
Stephenville	Flash	1
Stephenville	Disk	2
Stephenville	Circle	1
Stanton	Triangle	1
Stagecoach	Cigar	1
Stafford	Unknown	1
Stafford	Other	1
Stafford	Circle	1
St. Hedwig	Triangle	1
Spurger	Disk	1
Spur	Triangle	1
Spur	Light	1
Springtown	Triangle	1
Springtown	Oval	1
Springtown	Light	1
Springtown	Circle	3
Springtown	Cigar	2
Spring Branch	Unknown	1
Spring Branch	Fireball	1
Spring	Unknown	4
Spring	Triangle	3
Spring	Sphere	5
Spring	Other	1
Spring	Light	10
Spring	Fireball	4
Spring	Egg	1
Spring	Diamond	1
Spring	Cone	1
Spring	Circle	5
Spring	Cigar	1
Spring	Chevron	1
Splendora	Unknown	1
Splendora	Sphere	1
Splendora	Oval	1
Spicewood	Oval	1
Spicewood	Disk	1
Spicewood	Cylinder	2
Spicewood	Circle	2
Spearman	Unknown	1
Southlake	Unknown	2
Southlake	Oval	1
Southlake	Other	1
Southlake	Light	2
Southlake	Fireball	1
South Tyler	Changing	1
South Padre Island	Unknown	1
South Padre Island	Oval	1
South Padre Island	Light	2
South Padre	Oval	1
Sour Lake	Light	2
Sonora	Unknown	1
Somerville County	Circle	1
Somerville	Other	2
Somerset	Sphere	1
Snyder	Rectangle	1
Snyder	Disk	2
Smithville	Unknown	1
Smithville	Triangle	1
Smithville	Oval	1
Smithville	Other	1
Smithville	Light	1
Smithville	Circle	2
Smithson's Valley	Cigar	1
Sloan	Light	1
Sisterdale	Formation	1
Sisterdale	Diamond	1
Sinton	Oval	1
Silverton	Cigar	1
Silsbee	Light	1
Sidney	Unknown	1
Sidney	Triangle	3
Sidney	Other	1
Sidney	Light	3
Shiner	Cylinder	1
Sherman	Unknown	2
Sherman	Rectangle	2
Sherman	Light	3
Sherman	Disk	1
Sherman	Circle	2
Shepherd	Triangle	4
Shamrock	Sphere	1
Shallowater	Circle	1
Shady Shores	Unknown	1
Shady Grove	Circle	1
Seminole	Rectangle	1
Seminole	Circle	1
Selma	Fireball	1
Seguin	Unknown	1
Seguin	Triangle	3
Seguin	Sphere	1
Seguin	Oval	1
Seguin	Other	1
Seguin	Flash	1
Seguin	Fireball	1
Seguin	Disk	1
Seguin	Cone	1
Segno	Disk	1
Sealy	Light	1
Seagoville	Triangle	1
Seagoville	Circle	2
Seagoville	Chevron	1
Seabrook	Unknown	1
Seabrook	Formation	1
Scurry	Circle	1
Schulenburg	Unknown	1
Schulenburg	Other	1
Schulenburg	Circle	1
Schertz	Oval	1
Schertz	Disk	1
Sargent	Light	1
Sargent	Circle	2
Santo	Circle	2
Santa Maria	Circle	1
Santa Fe	Unknown	1
Santa Fe	Light	1
Santa Fe	Fireball	1
Santa Fe	Disk	1
Santa Fe	Circle	1
Santa Fe	Chevron	1
Santa Anna	Light	1
Sanger	Other	1
Sanger	Flash	1
San Saba County	Formation	1
