City,Month of Date / Time,Shape,Count of Shape
Dallas,November 1997,Formation,1
Austin,November 1997,*,2
Houston,November 1997,Light,1
El Paso,October 1997,Other,1
Dallas,October 1997,Light,1
Houston,October 1997,Triangle,1
Houston,September 1997,Disk,1
Corpus Christi,July 1997,Oval,1
El Paso,July 1997,Cigar,1
El Paso,June 1997,Other,1
Austin,June 1997,*,2
Houston,June 1997,*,2
Austin,May 1997,*,3
Dallas,April 1997,Diamond,1
Austin,April 1997,Triangle,1
Houston,April 1997,*,3
Houston,March 1997,Sphere,1
San Antonio,February 1997,Triangle,1
Austin,January 1997,Light,1
Fort Worth,December 1996,Cigar,1
Austin,October 1996,Triangle,1
Austin,September 1996,Triangle,1
Katy,July 1996,Diamond,1
El Paso,June 1996,Disk,1
Austin,March 1996,Unknown,1
Houston,March 1996,*,2
Houston,December 1995,Unknown,1
Plano,November 1995,Sphere,1
Fort Worth,October 1995,Disk,1
Austin,October 1995,Unknown,1
Corpus Christi,September 1995,Unknown,1
Fort Worth,July 1995,Sphere,1
San Antonio,July 1995,Light,1
Corpus Christi,June 1995,Circle,1
El Paso,June 1995,Unknown,1
Dallas,June 1995,Light,1
Austin,June 1995,Light,1
Houston,May 1995,Light,1
Austin,April 1995,Other,1
San Antonio,March 1995,Fireball,1
San Antonio,November 1994,Circle,1
San Antonio,October 1994,Other,1
Austin,September 1994,Other,1
Arlington,August 1994,Diamond,1
Arlington,December 1993,Oval,1
Fort Worth,September 1993,Light,1
Katy,July 1993,Sphere,1
Houston,July 1993,Disk,1
San Antonio,April 1993,Disk,1
Houston,July 1992,Triangle,1
Fort Worth,June 1992,Unknown,1
Austin,June 1992,Fireball,1
Houston,June 1992,Chevron,1
Houston,May 1992,Triangle,1
Dallas,March 1992,Circle,1
Austin,July 1991,Triangle,1
Houston,July 1991,*,2
Plano,May 1991,Circle,1
Austin,October 1990,Other,1
Dallas,September 1990,Light,1
San Antonio,September 1990,Other,1
Corpus Christi,August 1990,Triangle,1
San Antonio,July 1990,Triangle,1
El Paso,June 1990,Triangle,1
Dallas,November 1989,*,2
San Antonio,November 1989,Diamond,1
Austin,September 1989,Circle,1
Corpus Christi,August 1989,Triangle,1
Dallas,June 1989,Cigar,1
Houston,June 1989,Other,1
Fort Worth,March 1989,Light,1
Houston,March 1989,Sphere,1
Corpus Christi,July 1988,Circle,1
Houston,July 1988,Oval,1
Houston,May 1988,Unknown,1
Dallas,April 1988,Light,1
El Paso,November 1987,Oval,1
Houston,July 1987,Sphere,1
Austin,June 1987,Disk,1
El Paso,May 1987,Disk,1
San Antonio,May 1987,Disk,1
Houston,December 1986,Formation,1
Austin,July 1986,Oval,1
Austin,September 1985,Chevron,1
Houston,August 1985,Triangle,1
Arlington,July 1985,Cigar,1
Katy,June 1985,Triangle,1
El Paso,June 1985,Disk,1
Houston,June 1985,Triangle,1
Austin,April 1985,Oval,1
Houston,October 1984,Circle,1
El Paso,June 1984,Circle,1
Arlington,April 1984,Triangle,1
Dallas,August 1983,Sphere,1
San Antonio,July 1983,Cigar,1
San Antonio,October 1982,Circle,1
Houston,July 1982,Disk,1
Fort Worth,June 1982,Oval,1
San Antonio,June 1982,Other,1
Austin,August 1981,Formation,1
Corpus Christi,October 1980,Disk,1
Dallas,October 1980,*,2
Houston,October 1980,Sphere,1
San Antonio,August 1980,Disk,1
El Paso,June 1980,Light,1
Houston,June 1980,Other,1
Austin,November 1979,Triangle,1
Fort Worth,June 1979,Teardrop,1
San Antonio,May 1979,Other,1
Dallas,April 1979,Light,1
Houston,January 1979,Rectangle,1
Fort Worth,August 1978,Triangle,1
Katy,June 1978,Egg,1
Dallas,June 1978,Oval,1
Fort Worth,May 1978,Light,1
San Antonio,October 1977,Other,1
Plano,September 1977,Disk,1
Fort Worth,June 1977,*,2
San Antonio,June 1977,Oval,1
El Paso,January 1977,Unknown,1
Houston,January 1977,Oval,1
Houston,November 1976,Circle,1
Dallas,October 1976,Disk,1
San Antonio,September 1976,Sphere,1
Houston,August 1976,Unknown,1
Corpus Christi,July 1976,Cylinder,1
Fort Worth,June 1976,*,2
Houston,March 1976,Disk,1
Arlington,June 1975,Triangle,3
San Antonio,May 1975,Disk,1
Houston,April 1975,Unknown,1
Houston,January 1975,Disk,1
Houston,October 1974,Circle,1
Houston,April 1974,Light,1
Houston,October 1973,Circle,1
San Antonio,September 1973,Circle,1
Houston,September 1973,Chevron,1
San Antonio,August 1973,Sphere,1
Dallas,July 1973,Circle,1
Austin,June 1973,Sphere,1
Houston,April 1973,Disk,1
Houston,February 1973,Rectangle,1
El Paso,July 1972,*,2
Houston,July 1972,Light,1
Dallas,June 1972,Unknown,1
Austin,June 1972,Light,1
San Antonio,September 1971,Oval,1
Houston,September 1971,Circle,1
Corpus Christi,October 1970,Oval,1
San Antonio,July 1970,Oval,1
Houston,June 1970,Disk,1
Houston,May 1970,Disk,1
Fort Worth,March 1970,Disk,1
Austin,September 1969,Sphere,1
Dallas,May 1969,Light,1
Corpus Christi,August 1968,Other,1
Austin,August 1968,Disk,1
Dallas,July 1968,Other,1
Houston,July 1968,Disk,2
Houston,June 1968,Triangle,1
Corpus Christi,July 1967,Other,1
El Paso,June 1967,Light,1
El Paso,May 1967,Light,1
El Paso,April 1967,Chevron,1
Corpus Christi,November 1966,Oval,1
Corpus Christi,April 1966,Light,1
El Paso,March 1966,Oval,1
Houston,December 1965,Formation,1
San Antonio,August 1965,Egg,1
Austin,April 1965,Unknown,1
Houston,June 1964,Triangle,1
Houston,June 1963,*,2
Austin,August 1960,Fireball,1
Houston,April 1960,Other,1
Houston,March 1960,Triangle,1
Fort Worth,June 1958,Disk,1
Houston,June 1958,Disk,1
Corpus Christi,November 1957,Light,1
Houston,October 1957,Light,1
El Paso,September 1957,Disk,1
Houston,July 1957,Diamond,1
El Paso,June 1957,Disk,1
Dallas,June 1957,Other,1
Dallas,January 1957,Unknown,1
Houston,June 1956,Triangle,1
Houston,June 1954,Disk,1
Fort Worth,June 1953,Sphere,1
Arlington,July 1952,Disk,1
Fort Worth,June 1950,Disk,1
Corpus Christi,June 1947,Fireball,1
Dallas,July 1945,Sphere,1
El Paso,,Sphere,1
Houston,,*,2
