City	MonthofDate	Shape	CountofShape
Austin	March 2013	Changing	1
Houston	March 2013	*	2
Chester	February 2013	Changing	1
Rio Hondo	February 2013	Oval	1
Woodville	February 2013	Fireball	1
Whitney	February 2013	Changing	1
Crosby	February 2013	Diamond	1
Cotulla	February 2013	Unknown	1
Bastrop	February 2013	Disk	1
Lewisville	February 2013	Formation	1
Wichita Falls	February 2013	Light	2
Katy	February 2013	Circle	1
Arlington	February 2013	Oval	1
Dallas	February 2013	*	2
Austin	February 2013	Unknown	1
Houston	February 2013	*	2
La Marque	January 2013	Cigar	1
Seagoville	January 2013	Circle	1
Gun Barrel City	January 2013	Circle	1
Vidor	January 2013	Changing	1
Smithville	January 2013	Other	1
Canyon Lake	January 2013	Triangle	1
Montgomery	January 2013	Sphere	1
Pearland	January 2013	Fireball	1
Odessa	January 2013	Triangle	1
Denton	January 2013	Circle	1
Lubbock	January 2013	Rectangle	1
Arlington	January 2013	Triangle	1
Fort Worth	January 2013	Light	1
San Antonio	January 2013	*	2
Austin	January 2013	*	2
Rye	December 2012	Oval	1
Ovilla	December 2012	Light	1
Karne City	December 2012	Fireball	1
Blum	December 2012	Triangle	1
Gunter	December 2012	Light	1
Fritch	December 2012	Circle	1
Cameron	December 2012	*	2
Ingleside	December 2012	Fireball	1
Rockport	December 2012	Other	1
Rancho Viejo	December 2012	Teardrop	1
Vidor	December 2012	Unknown	1
Magnolia	December 2012	Other	1
Alvarado	December 2012	Circle	1
Webster	December 2012	Changing	1
Livingston	December 2012	Light	1
Sugar Land	December 2012	Fireball	1
Burleson	December 2012	Light	1
Montgomery	December 2012	Unknown	1
Cypress	December 2012	Other	1
Odessa	December 2012	*	2
Denton	December 2012	Light	1
Abilene	December 2012	*	2
Garland	December 2012	Circle	1
Corpus Christi	December 2012	Light	1
Dallas	December 2012	Light	1
Houston	December 2012	Unknown	1
Petersburg	November 2012	Flash	1
Jonah	November 2012	Changing	1
Granger	November 2012	Fireball	1
Aquilla	November 2012	Triangle	1
Taylor	November 2012	Light	1
Needville	November 2012	Fireball	1
Harker Heights	November 2012	Light	1
Gainesville	November 2012	Circle	1
Comanche	November 2012	Unknown	1
Benbrook	November 2012	Cigar	1
Dripping Springs	November 2012	Fireball	1
Temple	November 2012	Light	1
Crosby	November 2012	Unknown	1
Cotulla	November 2012	Light	1
Alice	November 2012	Disk	1
Bertram	November 2012	Light	1
Lake Jackson	November 2012	Circle	1
Texarkana	November 2012	Light	1
Hurst	November 2012	Circle	1
Brownsville	November 2012	Oval	1
Copperas Cove	November 2012	Changing	1
New Braunfels	November 2012	Other	1
Galveston	November 2012	Oval	1
Denton	November 2012	Disk	1
Katy	November 2012	*	2
Corpus Christi	November 2012	Cigar	1
Houston	November 2012	*	2
Gary	October 2012	Light	1
Mineral Wells	October 2012	Rectangle	1
Midlothian	October 2012	Triangle	1
San Saba	October 2012	Formation	1
Pinehurst	October 2012	Light	1
Lampasas	October 2012	Light	1
Richmond	October 2012	Unknown	1
Brownwood	October 2012	Light	1
The Woodlands	October 2012	Light	1
Seguin	October 2012	Flash	1
McAllen	October 2012	Light	1
Killeen	October 2012	Light	1
Tomball	October 2012	Light	1
College Station	October 2012	Triangle	1
Garland	October 2012	Chevron	1
Round Rock	October 2012	Light	1
Katy	October 2012	Triangle	1
Arlington	October 2012	Triangle	1
Fort Worth	October 2012	Circle	1
El Paso	October 2012	Fireball	1
Dallas	October 2012	Other	1
San Antonio	October 2012	Diamond	1
Austin	October 2012	Changing	1
Houston	October 2012	Fireball	1
Mason	September 2012	Oval	1
Hewitt	September 2012	Unknown	1
Carmine	September 2012	Fireball	1
Caldwell	September 2012	Diamond	1
Gladewater	September 2012	Circle	1
Rancho Viejo	September 2012	*	2
Weslaco	September 2012	Light	1
Waxahachie	September 2012	Changing	1
Mansfield	September 2012	Rectangle	1
Killeen	September 2012	Circle	1
Spring	September 2012	Light	1
Denton	September 2012	Diamond	1
Garland	September 2012	Light	1
Corpus Christi	September 2012	Sphere	1
Fort Worth	September 2012	Fireball	2
San Antonio	September 2012	Circle	1
Austin	September 2012	Triangle	2
Houston	September 2012	*	2
Providence Village	August 2012	Light	1
Cuero	August 2012	Triangle	1
Colorado City	August 2012	Chevron	1
Ennis	August 2012	Changing	1
Brownfield	August 2012	Triangle	1
Clear Lake	August 2012	Sphere	1
Kerrville	August 2012	Unknown	1
Victoria	August 2012	Triangle	1
McAllen	August 2012	Oval	1
Brownsville	August 2012	Oval	1
Allen	August 2012	Other	1
Tomball	August 2012	Light	1
Lewisville	August 2012	Cylinder	1
Galveston	August 2012	Oval	1
Abilene	August 2012	*	2
Garland	August 2012	Teardrop	1
Lubbock	August 2012	Other	1
Corpus Christi	August 2012	Light	1
Dallas	August 2012	Other	1
San Antonio	August 2012	*	2
Austin	August 2012	*	3
Houston	August 2012	*	4
Rhome	July 2012	Oval	1
New Caney	July 2012	Fireball	1
Portland	July 2012	Circle	1
Hutto	July 2012	Light	1
Bedford	July 2012	Light	1
Terrell	July 2012	Triangle	1
Burleson	July 2012	Circle	1
Montgomery	July 2012	Disk	1
Cedar Park	July 2012	Circle	1
Mesquite	July 2012	Circle	1
Galveston	July 2012	Triangle	1
Amarillo	July 2012	Fireball	1
Corpus Christi	July 2012	Other	1
Dallas	July 2012	Fireball	2
Houston	July 2012	Light	2
Pidcoke	June 2012	Triangle	1
Mount Pleasant	June 2012	Sphere	1
Cibolo	June 2012	Unknown	1
Bowie	June 2012	Oval	1
Lake Worth	June 2012	Unknown	1
Mabank	June 2012	Light	1
Springtown	June 2012	Light	1
Cotulla	June 2012	*	2
Longview	June 2012	Triangle	1
Katy	June 2012	Other	1
El Paso	June 2012	Circle	1
Dallas	June 2012	Egg	1
San Antonio	June 2012	Fireball	1
Houston	June 2012	Teardrop	1
Real County	May 2012	Triangle	1
Devine	May 2012	Disk	1
Sour Lake	May 2012	Light	1
Schulenburg	May 2012	Unknown	1
Edna	May 2012	Other	1
Brownfield	May 2012	Triangle	1
Highland Village	May 2012	Circle	1
Santa Fe	May 2012	Circle	1
Lago Vista	May 2012	Circle	1
Brownwood	May 2012	Fireball	1
The Woodlands	May 2012	Formation	1
League City	May 2012	Fireball	1
Pearland	May 2012	Circle	1
Fort Worth	May 2012	Disk	1
San Antonio	May 2012	*	2
Houston	May 2012	Fireball	1
Florence	April 2012	Changing	1
Schulenburg	April 2012	Other	1
Royse City	April 2012	Formation	1
Highland Village	April 2012	Other	1
Harlingen	April 2012	Oval	1
Atascocita	April 2012	Light	1
Victoria	April 2012	Rectangle	1
Livingston	April 2012	*	2
Kingwood	April 2012	Other	1
Waxahachie	April 2012	Other	1
Texas City	April 2012	Oval	1
Cedar Park	April 2012	*	2
Richardson	April 2012	Triangle	1
Georgetown	April 2012	Light	1
Baytown	April 2012	Oval	1
Lewisville	April 2012	Formation	1
Wichita Falls	April 2012	Light	1
Galveston	April 2012	Light	1
Spring	April 2012	Sphere	1
Amarillo	April 2012	Circle	1
Katy	April 2012	Triangle	1
Fort Worth	April 2012	Chevron	1
Dallas	April 2012	Triangle	1
Austin	April 2012	*	2
Mansfield and Terrell	March 2012	Light	1
Crowley	March 2012	Circle	1
Cleveland	March 2012	Triangle	1
Copperas Cove	March 2012	Unknown	1
Tomball	March 2012	Circle	1
Abilene	March 2012	Triangle	1
Round Rock	March 2012	Cross	1
Fort Worth	March 2012	Light	1
Dallas	March 2012	Light	1
Austin	March 2012	*	2
Houston	March 2012	*	2
Groveton	February 2012	Circle	1
Buffalo	February 2012	Flash	1
Rancho Viejo	February 2012	Chevron	1
Ben Wheeler	February 2012	Sphere	1
Colleyville	February 2012	Rectangle	1
Alpine	February 2012	Light	1
Hurst	February 2012	Circle	1
Cedar Park	February 2012	Fireball	1
Tomball	February 2012	Circle	1
Lubbock	February 2012	*	2
Arlington	February 2012	Light	1
Fort Worth	February 2012	Triangle	1
El Paso	February 2012	Circle	1
San Antonio	February 2012	Fireball	1
Austin	February 2012	Fireball	1
Quinlan	January 2012	Formation	1
Gunter	January 2012	Unknown	1
Helotes	January 2012	Triangle	1
Sachse	January 2012	Light	1
De Leon	January 2012	Formation	1
Fort Stockton	January 2012	Flash	1
Lufkin	January 2012	Light	1
League City	January 2012	*	2
Laredo	January 2012	Unknown	1
Beaumont	January 2012	Triangle	1
Conroe	January 2012	Circle	1
Tomball	January 2012	Oval	1
San Angelo	January 2012	Flash	1
Lubbock	January 2012	Circle	1
Round Rock	January 2012	Circle	1
Dallas	January 2012	*	3
San Antonio	January 2012	Disk	1
Austin	January 2012	Diamond	1
Houston	January 2012	*	2
Stagecoach	December 2011	Cigar	1
Bayview	December 2011	Cigar	1
Cuero	December 2011	Light	1
Avinger	December 2011	Oval	1
Palestine	December 2011	Unknown	1
Alice	December 2011	Other	1
Conroe	December 2011	Rectangle	1
Corpus Christi	December 2011	Light	1
Dallas	December 2011	Circle	1
San Antonio	December 2011	Circle	1
Austin	December 2011	*	2
Houston	December 2011	Light	1
Old River-Winfree	November 2011	Sphere	1
Elkhart	November 2011	Light	1
Round Mountain	November 2011	Light	1
Panhandle	November 2011	Unknown	1
Crandall	November 2011	Disk	1
Pleasanton	November 2011	Circle	1
Crystal Beach	November 2011	Unknown	1
Alpine	November 2011	Triangle	1
Pasadena	November 2011	Disk	1
Frisco	November 2011	Light	1
Bryan	November 2011	Other	1
Midland	November 2011	Light	1
Katy	November 2011	Triangle	1
Dallas	November 2011	Fireball	1
San Antonio	November 2011	Unknown	1
Austin	November 2011	*	2
Houston	November 2011	Other	2
Center City	October 2011	Unknown	1
Eagle Mountain	October 2011	Other	1
Cedar Creek	October 2011	Unknown	1
Bangs	October 2011	Unknown	2
Anson	October 2011	Changing	1
Rockport	October 2011	Changing	1
San Benito	October 2011	Triangle	1
Gatesville	October 2011	Flash	1
Kilgore	October 2011	Light	1
Canyon Lake	October 2011	Oval	1
Temple	October 2011	Triangle	1
Crosby	October 2011	Circle	1
Brownwood	October 2011	Unknown	1
Alice	October 2011	Triangle	1
Seguin	October 2011	Other	1
Cleburne	October 2011	Triangle	1
Nacogdoches	October 2011	Light	1
Grand Prairie	October 2011	Other	1
New Braunfels	October 2011	Circle	1
Baytown	October 2011	Light	2
Waco	October 2011	Changing	1
San Angelo	October 2011	Flash	1
Amarillo	October 2011	Unknown	1
Plano	October 2011	Triangle	1
Katy	October 2011	Disk	2
El Paso	October 2011	*	3
San Antonio	October 2011	*	2
Morgans Point Resort	September 2011	Circle	1
Port Arthur	September 2011	Light	1
Lantana	September 2011	Changing	1
Brownfield	September 2011	Light	1
La Porte	September 2011	Circle	1
Coppell	September 2011	Light	1
Pflugerville	September 2011	Formation	1
Friendswood	September 2011	Fireball	1
Lake Jackson	September 2011	Cigar	1
League City	September 2011	Sphere	1
Copperas Cove	September 2011	*	3
Allen	September 2011	Egg	1
Baytown	September 2011	Unknown	1
Carrollton	September 2011	Unknown	1
McKinney	September 2011	Light	1
Amarillo	September 2011	Circle	1
Lubbock	September 2011	Light	2
Round Rock	September 2011	Light	1
Plano	September 2011	Oval	1
Katy	September 2011	Rectangle	1
Corpus Christi	September 2011	Oval	1
Fort Worth	September 2011	Circle	1
Dallas	September 2011	Fireball	1
San Antonio	September 2011	Triangle	1
Houston	September 2011	*	2
Shallowater	August 2011	Circle	1
Field Store	August 2011	Rectangle	1
Hooks	August 2011	Light	1
San Benito	August 2011	Circle	1
Eagle Pass	August 2011	Oval	1
Terrell	August 2011	Formation	1
Angleton	August 2011	Formation	1
Sugar Land	August 2011	Rectangle	1
Del Rio	August 2011	Light	1
Seguin	August 2011	Triangle	1
Alvin	August 2011	*	2
Nacogdoches	August 2011	Triangle	1
Mansfield	August 2011	Cylinder	1
Waco	August 2011	Rectangle	1
Galveston	August 2011	Light	2
Round Rock	August 2011	Circle	2
El Paso	August 2011	Circle	1
Dallas	August 2011	Triangle	1
San Antonio	August 2011	*	2
Houston	August 2011	*	2
Wheatland	July 2011	Sphere	1
South Padre	July 2011	Oval	1
Sloan	July 2011	Light	1
Payne Springs	July 2011	Flash	1
Millersville	July 2011	Light	1
Bronco	July 2011	Light	1
Boyd	July 2011	Unknown	1
Fulshear	July 2011	Disk	1
Celina	July 2011	Oval	1
Carthage	July 2011	Triangle	1
Bonham	July 2011	Fireball	1
Bandera	July 2011	Triangle	1
Santa Fe	July 2011	Light	1
Atascocita	July 2011	Fireball	1
Smithville	July 2011	Triangle	1
Eagle Pass	July 2011	Unknown	1
Port Neches	July 2011	Unknown	1
Cotulla	July 2011	*	2
Lake Jackson	July 2011	Disk	1
Humble	July 2011	Disk	1
Allen	July 2011	Triangle	1
Georgetown	July 2011	Changing	1
McKinney	July 2011	*	2
Plano	July 2011	*	2
El Paso	July 2011	Sphere	1
Dallas	July 2011	Disk	1
San Antonio	July 2011	*	2
Austin	July 2011	Triangle	1
Houston	July 2011	*	3
Winnsboro	June 2011	Other	1
Red Oak	June 2011	Triangle	1
Paint Rock	June 2011	Unknown	1
Navasota	June 2011	Light	1
Hockley	June 2011	Teardrop	1
Highland Village	June 2011	Other	1
Spicewood	June 2011	Cylinder	1
Belton	June 2011	Triangle	1
Leander	June 2011	Unknown	1
Richardson	June 2011	*	2
Georgetown	June 2011	Changing	1
Lubbock	June 2011	Oval	1
Corpus Christi	June 2011	Fireball	1
Ovalo	May 2011	Oval	1
Wills Point	May 2011	Unknown	1
Presidio	May 2011	Formation	1
Snyder	May 2011	Rectangle	1
Plainview	May 2011	Triangle	1
Manor	May 2011	Light	1
Kermit	May 2011	Triangle	1
Hockley	May 2011	Light	1
Rockwall	May 2011	Rectangle	1
Benbrook	May 2011	Other	1
Watauga	May 2011	Light	1
Longview	May 2011	Fireball	1
Irving	May 2011	Circle	1
Fort Worth	May 2011	Formation	1
El Paso	May 2011	Oval	1
San Antonio	May 2011	*	2
Austin	May 2011	*	2
Houston	May 2011	Unknown	1
Lipan	April 2011	Other	1
Royse City	April 2011	Disk	1
Rockwall	April 2011	Rectangle	1
New Boston	April 2011	Unknown	1
Fredericksburg	April 2011	Disk	1
Freeport	April 2011	Rectangle	1
Southlake	April 2011	Other	1
Bedford	April 2011	Circle	1
Athens	April 2011	Circle	1
Carrollton	April 2011	Sphere	1
Wichita Falls	April 2011	Cylinder	1
Round Rock	April 2011	Teardrop	1
Corpus Christi	April 2011	Circle	1
Fort Worth	April 2011	Oval	1
Dallas	April 2011	Triangle	1
San Antonio	April 2011	*	2
Mt. Vernon	March 2011	Oval	1
Morgan Mill	March 2011	Light	1
Echo	March 2011	Chevron	1
Red Oak	March 2011	Other	1
Lake Texoma	March 2011	Circle	1
Italy	March 2011	Changing	1
Winters	March 2011	Oval	1
Kermit	March 2011	Triangle	1
Rockport	March 2011	Disk	1
Hockley	March 2011	Unknown	1
Comfort	March 2011	Triangle	1
Colleyville	March 2011	Cone	1
Coleman	March 2011	Oval	1
Haltom City	March 2011	Triangle	1
Waxahachie	March 2011	Circle	1
Tomball	March 2011	Light	1
San Marcos	March 2011	Chevron	1
Round Rock	March 2011	Light	1
Katy	March 2011	Cross	1
Fort Worth	March 2011	Sphere	1
San Antonio	March 2011	*	2
Barstow	February 2011	Oval	1
Porter	February 2011	Triangle	1
Goldthwaite	February 2011	Unknown	2
Bandera	February 2011	Light	1
Flower Mound	February 2011	Formation	1
Tyler	February 2011	Other	1
Georgetown	February 2011	Light	1
Midland	February 2011	Sphere	1
Galveston	February 2011	Light	1
Round Rock	February 2011	*	3
Plano	February 2011	Unknown	1
Corpus Christi	February 2011	Light	1
Austin	February 2011	*	2
Royce City	January 2011	Oval	1
Rosenberg	January 2011	Other	1
Fred	January 2011	Unknown	1
Krum	January 2011	Disk	1
Edinburg	January 2011	Oval	1
Friendswood	January 2011	Sphere	1
League City	January 2011	Light	1
Mansfield	January 2011	Unknown	1
Cypress	January 2011	*	2
Midland	January 2011	Formation	1
Katy	January 2011	*	2
Corpus Christi	January 2011	Light	1
Dallas	January 2011	*	2
Austin	January 2011	Fireball	1
Houston	January 2011	Rectangle	1
Kildare	December 2010	Other	1
Floresville	December 2010	Unknown	1
Bogata	December 2010	Disk	1
Coleman	December 2010	Circle	1
Emory	December 2010	Light	1
Belton	December 2010	Other	1
Del Rio	December 2010	Light	1
The Woodlands	December 2010	Sphere	1
Richardson	December 2010	Oval	1
Cypress	December 2010	Unknown	1
Galveston	December 2010	Changing	1
Fort Worth	December 2010	Fireball	1
Houston	December 2010	*	2
Groesbeck	November 2010	Cigar	1
Terlingua	November 2010	Fireball	1
Jacksonville	November 2010	Flash	1
Krum	November 2010	Triangle	1
Wylie	November 2010	Unknown	1
Alvin	November 2010	Fireball	1
San Angelo	November 2010	Oval	1
Amarillo	November 2010	*	2
Plano	November 2010	Unknown	1
Corpus Christi	November 2010	Triangle	1
Fort Worth	November 2010	Other	1
Austin	November 2010	Sphere	2
Houston	November 2010	*	3
Moran	October 2010	Flash	1
La Pryor	October 2010	Fireball	1
Chalk Hill	October 2010	Rectangle	1
Paint Rock	October 2010	Light	1
Seagoville	October 2010	Chevron	1
Cross Roads	October 2010	Triangle	1
Ben Wheeler	October 2010	Triangle	1
Coleman	October 2010	Unknown	1
Webster	October 2010	Cross	1
Lufkin	October 2010	Chevron	1
Livingston	October 2010	Light	1
The Colony	October 2010	Light	1
Waxahachie	October 2010	Disk	1
Pearland	October 2010	Sphere	1
Allen	October 2010	Unknown	1
Tomball	October 2010	Cigar	1
Waco	October 2010	Oval	1
Lewisville	October 2010	Unknown	1
San Angelo	October 2010	*	2
College Station	October 2010	Disk	1
Denton	October 2010	Circle	1
Abilene	October 2010	Light	1
Plano	October 2010	Cone	1
Katy	October 2010	Light	2
Fort Worth	October 2010	Circle	1
Dallas	October 2010	*	3
San Antonio	October 2010	Fireball	1
Austin	October 2010	*	3
Reno	September 2010	Triangle	1
Levelland	September 2010	Unknown	1
Fannett	September 2010	Disk	1
Sanger	September 2010	Flash	1
Kennedale	September 2010	Disk	1
Eldorado	September 2010	Triangle	1
Lindale	September 2010	Triangle	1
Kyle	September 2010	Chevron	1
Krum	September 2010	Light	1
Junction	September 2010	Light	1
Victoria	September 2010	Sphere	1
League City	September 2010	Unknown	1
Azle	September 2010	Unknown	1
San Angelo	September 2010	*	2
Amarillo	September 2010	Other	1
Plano	September 2010	Disk	1
Katy	September 2010	Oval	1
Arlington	September 2010	Triangle	1
Fort Worth	September 2010	Triangle	1
El Paso	September 2010	Other	1
Dallas	September 2010	Triangle	1
Austin	September 2010	*	2
Houston	September 2010	*	2
New Waverly	August 2010	Other	1
Murphy	August 2010	Oval	1
San Benito	August 2010	Circle	1
Fredericksburg	August 2010	Fireball	1
Glen Rose	August 2010	Circle	1
Victoria	August 2010	Rectangle	1
Huntsville	August 2010	Light	1
Stephenville	August 2010	Formation	1
Beaumont	August 2010	*	2
Bryan	August 2010	Triangle	1
Round Rock	August 2010	Oval	1
Arlington	August 2010	Triangle	1
El Paso	August 2010	*	3
Dallas	August 2010	Fireball	1
San Antonio	August 2010	*	5
Sonora	July 2010	Unknown	1
Lamesa	July 2010	Circle	1
Haslet	July 2010	Sphere	1
Lake Tawakoni	July 2010	Cigar	1
Addison	July 2010	Fireball	1
Kingwood	July 2010	Changing	1
Azle	July 2010	Teardrop	1
Tyler	July 2010	Fireball	1
Allen	July 2010	Unknown	1
San Angelo	July 2010	*	2
Galveston	July 2010	Light	1
Corpus Christi	July 2010	Circle	1
Fort Worth	July 2010	Sphere	2
El Paso	July 2010	Light	1
Dallas	July 2010	*	4
San Antonio	July 2010	Chevron	1
Houston	July 2010	Disk	1
Santa Anna	June 2010	Light	1
Wills Point	June 2010	Cigar	1
Gainesville	June 2010	Light	1
Lexington	June 2010	Triangle	1
Sherman	June 2010	Circle	1
The Colony	June 2010	Disk	1
Grand Prairie	June 2010	Other	1
McKinney	June 2010	Unknown	1
Plano	June 2010	*	2
Arlington	June 2010	Light	2
El Paso	June 2010	*	2
Houston	June 2010	*	2
Pierce	May 2010	Light	1
Aransas Pass	May 2010	Light	1
Hallettsville	May 2010	Triangle	1
Ballinger	May 2010	Diamond	1
Mineola	May 2010	Unknown	1
Euless	May 2010	Changing	1
Bertram	May 2010	Light	1
Allen	May 2010	Light	1
San Angelo	May 2010	Unknown	1
Galveston	May 2010	Fireball	1
Arlington	May 2010	Light	1
Dallas	May 2010	Disk	1
Austin	May 2010	Unknown	1
Charlotte	April 2010	Sphere	1
Nederland	April 2010	Light	1
Kaufman	April 2010	Fireball	2
Atascocita	April 2010	Disk	1
Fairfield	April 2010	Changing	1
Dripping Springs	April 2010	Oval	2
Cotulla	April 2010	Triangle	1
Waxahachie	April 2010	Triangle	1
Georgetown	April 2010	Triangle	1
Lubbock	April 2010	Triangle	1
Arlington	April 2010	Chevron	1
Fort Worth	April 2010	Sphere	1
San Antonio	April 2010	Triangle	1
Austin	April 2010	Light	1
Houston	April 2010	*	2
Riesel	March 2010	Sphere	1
Poth	March 2010	Triangle	1
Dublin	March 2010	Light	1
Buffalo	March 2010	Light	1
Sachse	March 2010	Sphere	1
Converse	March 2010	Disk	1
Glen Rose	March 2010	Light	1
Canyon Lake	March 2010	Other	1
Longview	March 2010	Other	1
Abilene	March 2010	Light	1
Arlington	March 2010	Light	1
El Paso	March 2010	Changing	1
San Antonio	March 2010	Sphere	1
Austin	March 2010	Unknown	1
Rising Star	February 2010	Light	1
Cistern	February 2010	Sphere	1
Tatum	February 2010	Other	1
Sullivan City	February 2010	Formation	1
Winnie	February 2010	*	2
Spicewood	February 2010	Circle	1
Belton	February 2010	Light	1
Bedford	February 2010	Light	1
Fort Hood	February 2010	Circle	1
Nacogdoches	February 2010	Formation	1
Mesquite	February 2010	Rectangle	1
Galveston	February 2010	Fireball	1
Abilene	February 2010	Changing	1
Corpus Christi	February 2010	Circle	1
San Antonio	February 2010	Light	1
Austin	February 2010	Sphere	1
Trinity and Riverside	January 2010	Disk	1
Ben Wheeler	January 2010	Light	1
Van Alstyne	January 2010	Unknown	1
Edinburg	January 2010	Cigar	1
Tomball	January 2010	Unknown	1
Spring	January 2010	Sphere	1
Round Rock	January 2010	Light	1
Fort Worth	January 2010	Chevron	1
San Antonio	January 2010	Sphere	1
Austin	January 2010	Other	1
Houston	January 2010	Circle	1
Richland Hills	December 2009	Triangle	1
Mico	December 2009	Formation	1
Burkeville	December 2009	Other	1
Walnut Springs	December 2009	Light	1
Seabrook	December 2009	Unknown	1
Mexia	December 2009	Egg	1
Big Bend National Park	December 2009	Unknown	1
Leakey	December 2009	Oval	1
Gulf Of Mexico	December 2009	Other	1
Belton	December 2009	Other	1
Cleburne	December 2009	Triangle	1
Tomball	December 2009	Circle	1
Fort Worth	December 2009	Other	1
Austin	December 2009	Disk	1
Santo	November 2009	Circle	1
De Leon	November 2009	Light	1
Post	November 2009	Light	1
Gatesville	November 2009	Rectangle	1
Eastland	November 2009	Flash	1
Celina	November 2009	Circle	1
Buda	November 2009	Changing	1
Sidney	November 2009	Light	1
Grapevine	November 2009	Light	1
Odessa	November 2009	*	2
Denton	November 2009	Light	1
Corpus Christi	November 2009	Unknown	1
Dallas	November 2009	*	2
Austin	November 2009	*	3
Aspermont	October 2009	Light	1
San Juan	October 2009	Unknown	1
Haltom	October 2009	Light	1
Cushing	October 2009	Flash	1
Dayton	October 2009	Triangle	1
Sidney	October 2009	Light	1
Rowlett	October 2009	*	2
Sugar Land	October 2009	Triangle	1
The Woodlands	October 2009	Unknown	1
McAllen	October 2009	Other	1
Unknown	October 2009	Unknown	1
Denton	October 2009	Unknown	1
Amarillo	October 2009	Sphere	1
Lubbock	October 2009	*	2
Corpus Christi	October 2009	Oval	1
Austin	October 2009	Sphere	1
Houston	October 2009	*	3
Martindale	September 2009	Changing	1
Santo	September 2009	Circle	1
Mineral Wells	September 2009	Rectangle	1
Graford	September 2009	Sphere	1
Princeton	September 2009	Diamond	1
Benbrook	September 2009	Light	1
Mineola	September 2009	Light	1
Coppell	September 2009	Formation	1
Bastrop	September 2009	Sphere	1
Kingwood	September 2009	Light	1
McAllen	September 2009	Flash	1
Nacogdoches	September 2009	Rectangle	1
Conroe	September 2009	Chevron	1
San Marcos	September 2009	Triangle	1
McKinney	September 2009	Light	1
Denton	September 2009	Light	1
Corpus Christi	September 2009	Other	1
Fort Worth	September 2009	*	2
San Antonio	September 2009	Unknown	1
Houston	September 2009	*	3
Saginaw	August 2009	Fireball	1
Percilla	August 2009	Light	1
Groom	August 2009	Disk	1
Bulverde	August 2009	Light	1
Walnut Springs	August 2009	Light	1
Lindsay	August 2009	Light	1
Haltom City	August 2009	Light	1
Mansfield	August 2009	Other	1
Tomball	August 2009	Triangle	1
Abilene	August 2009	Triangle	1
Lubbock	August 2009	Other	1
Arlington	August 2009	Other	1
Fort Worth	August 2009	Disk	1
El Paso	August 2009	Other	1
Dallas	August 2009	Other	1
San Antonio	August 2009	*	2
Austin	August 2009	Light	1
Houston	August 2009	*	3
Burkett	July 2009	Cigar	1
Bluetown	July 2009	Formation	1
Oakwood	July 2009	Light	1
Lindsay	July 2009	Unknown	1
Keene	July 2009	Sphere	1
Hallsville	July 2009	Cigar	1
Weslaco	July 2009	Light	1
Alvarado	July 2009	Teardrop	1
Pampa	July 2009	Other	1
Buda	July 2009	Light	1
Flower Mound	July 2009	Light	1
Euless	July 2009	Light	1
Alvin	July 2009	Other	1
Longview	July 2009	Circle	1
Humble	July 2009	Fireball	1
Cedar Park	July 2009	Changing	1
Bryan	July 2009	Unknown	1
Killeen	July 2009	Oval	1
Irving	July 2009	Oval	1
San Marcos	July 2009	Triangle	1
Galveston	July 2009	Cylinder	1
Amarillo	July 2009	Unknown	1
Katy	July 2009	Other	1
Houston	July 2009	*	2
Leon Valley	June 2009	Formation	1
Farmersville	June 2009	Other	1
Laguna Vista	June 2009	Oval	1
Fort Davis	June 2009	Cigar	1
Center	June 2009	Other	1
Spicewood	June 2009	Oval	1
Southlake	June 2009	Light	1
Victoria	June 2009	Light	1
Texarkana	June 2009	Triangle	1
Azle	June 2009	Fireball	1
Copperas Cove	June 2009	Oval	1
Tomball	June 2009	Light	1
San Marcos	June 2009	Triangle	2
McKinney	June 2009	Oval	1
Spring	June 2009	Cone	1
Abilene	June 2009	Rectangle	1
Garland	June 2009	Triangle	1
Corpus Christi	June 2009	Changing	1
El Paso	June 2009	Fireball	1
Dallas	June 2009	*	3
San Antonio	June 2009	*	4
Austin	June 2009	Oval	1
Houston	June 2009	*	2
Heidenheimer	May 2009	Triangle	1
Bhopal	May 2009	Rectangle	1
Three Rivers	May 2009	Light	1
Magnolia	May 2009	Sphere	1
Laredo	May 2009	Other	1
Longview	May 2009	Unknown	1
Humble	May 2009	Other	2
Grand Prairie	May 2009	Sphere	1
Plano	May 2009	Unknown	1
Katy	May 2009	Unknown	1
El Paso	May 2009	Triangle	2
Dallas	May 2009	Unknown	1
San Antonio	May 2009	Chevron	1
Austin	May 2009	Sphere	1
Aubrey	April 2009	Light	1
Anahuac	April 2009	Cylinder	1
Shepherd	April 2009	Triangle	1
Sulphur Springs	April 2009	Disk	1
Frisco	April 2009	Unknown	1
Cedar Park	April 2009	Disk	1
Grand Prairie	April 2009	Circle	1
Waco	April 2009	Egg	1
Abilene	April 2009	Triangle	1
Arlington	April 2009	Circle	1
El Paso	April 2009	Oval	1
San Antonio	April 2009	Other	1
Austin	April 2009	*	2
Houston	April 2009	*	2
Medina Lake	March 2009	Oval	1
Jasper	March 2009	Unknown	1
Muenster	March 2009	Egg	1
Wolfforth	March 2009	Fireball	1
Goldthwaite	March 2009	Formation	1
Bandera	March 2009	Flash	1
Buda	March 2009	Egg	1
Edinburg	March 2009	Unknown	1
Livingston	March 2009	Light	1
Copperas Cove	March 2009	Triangle	1
El Paso	March 2009	Changing	1
Austin	March 2009	Other	1
