City	MonthofDate	Shape	CountofShape
San Antonio	August 2016	Light	1
Austin	August 2016	*	2
Houston	August 2016	Triangle	1
Friendswood	July 2016	Sphere	1
Texas City	July 2016	Other	1
Hurst	July 2016	Triangle	1
Copperas Cove	July 2016	Flash	1
New Braunfels	July 2016	Other	1
College Station	July 2016	Fireball	1
McKinney	July 2016	Light	1
Spring	July 2016	Triangle	1
Denton	July 2016	*	2
Plano	July 2016	Circle	1
Corpus Christi	July 2016	Light	1
El Paso	July 2016	Light	1
Austin	July 2016	*	3
Hurst	June 2016	Teardrop	1
Cypress	June 2016	Triangle	1
Denton	June 2016	Circle	1
Garland	June 2016	Sphere	1
Katy	June 2016	*	2
San Antonio	June 2016	Diamond	1
Woodville	May 2016	Circle	1
Big Spring	May 2016	Light	1
Kingsville	May 2016	Light	1
Haltom City	May 2016	Unknown	1
Cedar Park	May 2016	Other	1
Abilene	May 2016	Light	1
Plano	May 2016	Sphere	1
Houston	May 2016	Oval	1
Leander-Jarrell	April 2016	Unknown	1
Navasota	April 2016	Flash	1
Lake Kiowa	April 2016	Rectangle	1
Jarrell	April 2016	*	2
Horizon City	April 2016	Triangle	1
Boerne	April 2016	Sphere	1
Rowlett	April 2016	Fireball	1
New Braunfels	April 2016	Oval	1
El Paso	April 2016	*	2
San Antonio	April 2016	*	2
Austin	April 2016	Cigar	1
Lorenzo	March 2016	Light	1
Los Fresnos	March 2016	Light	1
Wylie	March 2016	Fireball	1
Paris	March 2016	Light	1
Wichita Falls	March 2016	Unknown	1
Lubbock	March 2016	Rectangle	1
Arlington	March 2016	Oval	1
El Paso	March 2016	Triangle	1
Dallas	March 2016	Light	2
La Porte	February 2016	Circle	1
Leander	February 2016	Cigar	1
Laredo	February 2016	Sphere	1
Cypress	February 2016	Unknown	1
San Antonio	February 2016	Cigar	1
Austin	February 2016	*	2
Houston	February 2016	*	2
Stanton	January 2016	Triangle	1
Road	January 2016	Diamond	1
Huntington	January 2016	Light	1
Goliad	January 2016	Circle	1
Highland Village	January 2016	Fireball	1
Mineola	January 2016	Other	1
Dickinson	January 2016	Changing	1
Angleton	January 2016	Light	1
Rowlett	January 2016	Other	1
Pasadena	January 2016	Circle	1
New Braunfels	January 2016	Light	1
Odessa	January 2016	Cylinder	1
Spring	January 2016	Fireball	1
Round Rock	January 2016	Light	1
Austin	January 2016	Circle	1
New Boston	December 2015	Light	1
Bay City	December 2015	Circle	1
Port Isabel	December 2015	Cylinder	1
Victoria	December 2015	Cigar	1
Leander	December 2015	Unknown	1
Copperas Cove	December 2015	*	2
Arlington	December 2015	Cigar	1
none	November 2015	Other	1
Mt. Pleasant	November 2015	Fireball	1
Electra	November 2015	Cigar	1
San Benito	November 2015	Other	1
Gatesville	November 2015	Chevron	1
Wimberley	November 2015	Oval	1
Springtown	November 2015	Cigar	1
Flower Mound	November 2015	*	3
Grapevine	November 2015	Oval	1
Allen	November 2015	Circle	1
Conroe	November 2015	*	2
Corpus Christi	November 2015	Circle	1
Dallas	November 2015	Fireball	1
Perryville	October 2015	Teardrop	1
Groveton	October 2015	Disk	1
Kaufman	October 2015	Triangle	1
Hutto	October 2015	Rectangle	1
Freeport	October 2015	Circle	1
Dayton	October 2015	Triangle	1
Wylie	October 2015	Fireball	1
Big Spring	October 2015	Cigar	1
Pflugerville	October 2015	Light	1
Friendswood	October 2015	Fireball	1
Burleson	October 2015	Triangle	1
Texas City	October 2015	Sphere	1
Mansfield	October 2015	Triangle	1
Lewisville	October 2015	Sphere	1
Corpus Christi	October 2015	*	2
Dallas	October 2015	Light	1
San Antonio	October 2015	Circle	2
Austin	October 2015	*	2
Houston	October 2015	*	3
Roasharon	September 2015	Light	1
Old Town Katy	September 2015	Light	1
Mathis	September 2015	Circle	1
Leagueville	September 2015	Triangle	1
Dimmit	September 2015	Circle	1
Diboll	September 2015	Light	1
Winnsboro	September 2015	Egg	1
